Name,Href,Birthday,Debut,Position,Team
Jesse Scholtens,/players/s/scholje01.shtml,"['April 6', '1994']","['\n    April 7, 2023\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
John Schreiber,/players/s/schrejo01.shtml,"['March 5', '1994']","['\n    August 9, 2019\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Max Schuemann,/players/s/schuema01.shtml,"['June 11', '1997']",[],"['\n    Pinch Runner, Centerfielder and Third Baseman\n  \n']",['Oakland Athletics']
Kyle Schwarber,/players/s/schwaky01.shtml,"['March 5', '1993']","['\n    June 16, 2015\n    ']",['\n    Leftfielder\n  \n'],['Philadelphia Phillies']
Tanner Scott,/players/s/scottta01.shtml,"['July 22', '1994']","['\n    September 20, 2017\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Tayler Scott,/players/s/scottta02.shtml,"['June 1', '1992']","['\n    June 8, 2019\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Victor Scott II,/players/s/scottvi01.shtml,"['February 12', '2001']",[],['\n    Centerfielder\n  \n'],['St. Louis Cardinals']
Andre Scrubb,/players/s/scruban01.shtml,"['January 13', '1995']","['\n    July 28, 2020\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Corey Seager,/players/s/seageco01.shtml,"['April 27', '1994']","['\n    September 3, 2015\n    ']",['\n    Shortstop\n  \n'],['Texas Rangers']
Chandler Seagle,/players/s/seaglch01.shtml,"['May 23', '1996']","['\n    September 30, 2023\n    ']",['\n    Pinch Hitter and Designated Hitter\n  \n'],['San Diego Padres']
JP Sears,/players/s/searsjp01.shtml,"['February 19', '1996']","['\n    April 13, 2022\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Jean Segura,/players/s/segurje01.shtml,"['March 17', '1990']","['\n    July 24, 2012\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",[]
Colin Selby,/players/s/selbyco01.shtml,"['October 24', '1997']","['\n    August 9, 2023\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Marcus Semien,/players/s/semiema01.shtml,"['September 17', '1990']","['\n    September 4, 2013\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",['Texas Rangers']
Kodai Senga,/players/s/sengako01.shtml,"['January 30', '1993']","['\n    April 2, 2023\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Antonio Senzatela,/players/s/senzaan01.shtml,"['January 21', '1995']","['\n    April 6, 2017\n    ']",['\n    Pitcher\n  \n'],['Colorado Rockies']
Nick Senzel,/players/s/senzeni01.shtml,"['June 29', '1995']","['\n    May 3, 2019\n    ']","['\n    Centerfielder, Third Baseman and Second Baseman\n  \n']",['Washington Nationals']
Brian Serven,/players/s/servebr01.shtml,"['May 5', '1995']","['\n    May 18, 2022\n    ']",['\n    Catcher\n  \n'],['Toronto Blue Jays']
Luis Severino,/players/s/severlu01.shtml,"['February 20', '1994']","['\n    August 5, 2015\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Paul Sewald,/players/s/sewalpa01.shtml,"['May 26', '1990']","['\n    April 8, 2017\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Bryan Shaw,/players/s/shawbr01.shtml,"['November 8', '1987']","['\n    June 10, 2011\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Emmet Sheehan,/players/s/sheehem01.shtml,"['November 15', '1999']","['\n    June 16, 2023\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Gavin Sheets,/players/s/sheetga01.shtml,"['April 23', '1996']","['\n    June 29, 2021\n    ']",['\n    Rightfielder and First Baseman\n  \n'],['Chicago White Sox']
Austin Shenton,/players/s/shentau01.shtml,"['January 22', '1998']",[],['\n    First Baseman\n  \n'],['Tampa Bay Rays']
Braden Shewmake,/players/s/shewmbr01.shtml,"['November 19', '1997']","['\n    May 5, 2023\n    ']",['\n    Shortstop and Second Baseman\n  \n'],['Chicago White Sox']
Zack Short,/players/s/shortza01.shtml,"['May 29', '1995']","['\n    April 21, 2021\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",['New York Mets']
Chasen Shreve,/players/s/shrevch01.shtml,"['July 12', '1990']","['\n    July 19, 2014\n    ']",['\n    Pitcher\n  \n'],['Texas Rangers']
Jared Shuster,/players/s/shustja01.shtml,"['August 3', '1998']","['\n    April 2, 2023\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Michael Siani,/players/s/sianimi01.shtml,"['July 16', '1999']","['\n    September 22, 2022\n    ']",['\n    Outfielder and Pinch Runner\n  \n'],['St. Louis Cardinals']
Chase Silseth,/players/s/silsech01.shtml,"['May 18', '2000']","['\n    May 13, 2022\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Lucas Sims,/players/s/simslu01.shtml,"['May 10', '1994']","['\n    August 1, 2017\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Brady Singer,/players/s/singebr01.shtml,"['August 4', '1996']","['\n    July 25, 2020\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Jon Singleton,/players/s/singljo02.shtml,"['September 18', '1991']","['\n    June 3, 2014\n    ']",['\n    First Baseman\n  \n'],['Houston Astros']
Jose Siri,/players/s/sirijo01.shtml,"['July 22', '1995']","['\n    September 3, 2021\n    ']",['\n    Centerfielder\n  \n'],['Tampa Bay Rays']
Tarik Skubal,/players/s/skubata01.shtml,"['November 20', '1996']","['\n    August 18, 2020\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Justin Slaten,/players/s/slateju01.shtml,"['September 15', '1997']",[],['\n    Pitcher\n  \n'],['Boston Red Sox']
Austin Slater,/players/s/slateau01.shtml,"['December 13', '1992']","['\n    June 2, 2017\n    ']","['\n    Outfielder, Pinch Hitter and First Baseman\n  \n']",['San Francisco Giants']
Ethan Small,/players/s/smallet01.shtml,"['February 14', '1997']","['\n    May 30, 2022\n    ']",['\n    Pitcher\n  \n'],['San Francisco Giants']
Devin Smeltzer,/players/s/smeltde01.shtml,"['September 7', '1995']","['\n    May 28, 2019\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Burch Smith,/players/s/smithbu03.shtml,"['April 12', '1990']","['\n    May 11, 2013\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
Cade Smith,/players/s/smithca06.shtml,"['May 9', '1999']",[],['\n    Pitcher\n  \n'],['Cleveland Guardians']
Dominic Smith,/players/s/smithdo02.shtml,"['June 15', '1995']","['\n    August 11, 2017\n    ']",['\n    First Baseman and Leftfielder\n  \n'],['Tampa Bay Rays']
Drew Smith,/players/s/smithdr01.shtml,"['September 24', '1993']","['\n    June 23, 2018\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Josh H. Smith,/players/s/smithjo11.shtml,"['August 7', '1997']","['\n    May 30, 2022\n    ']","['\n    Third Baseman, Leftfielder and Shortstop\n  \n']",['Texas Rangers']
Kevin Smith,/players/s/smithke05.shtml,"['July 4', '1996']","['\n    August 18, 2021\n    ']",['\n    Third Baseman and Shortstop\n  \n'],['New York Yankees']
Pavin Smith,/players/s/smithpa04.shtml,"['February 6', '1996']","['\n    September 12, 2020\n    ']",['\n    Rightfielder and First Baseman\n  \n'],['Arizona Diamondbacks']
Will Smith,/players/s/smithwi04.shtml,"['July 10', '1989']","['\n    May 23, 2012\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Will Smith,/players/s/smithwi05.shtml,"['March 28', '1995']","['\n    May 28, 2019\n    ']",['\n    Catcher\n  \n'],['Los Angeles Dodgers']
Canaan Smith-Njigba,/players/s/smithca05.shtml,"['April 30', '1999']","['\n    June 14, 2022\n    ']",['\n    Rightfielder\n  \n'],['Pittsburgh Pirates']
AJ Smith-Shawver,/players/s/smithaj01.shtml,"['November 20', '2002']","['\n    June 4, 2023\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Drew Smyly,/players/s/smylydr01.shtml,"['June 13', '1989']","['\n    April 12, 2012\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Kirby Snead,/players/s/sneadki01.shtml,"['October 7', '1994']","['\n    July 28, 2021\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Blake Snell,/players/s/snellbl01.shtml,"['December 4', '1992']","['\n    April 23, 2016\n    ']",['\n    Pitcher\n  \n'],['San Francisco Giants']
Collin Snider,/players/s/snideco01.shtml,"['October 10', '1995']","['\n    April 9, 2022\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Nicklaus Snyder,/players/s/snydeni01.shtml,"['October 10', '1995']","['\n    August 21, 2021\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Tyler Soderstrom,/players/s/soderty01.shtml,"['November 24', '2001']","['\n    July 14, 2023\n    ']","['\n    Designated Hitter, Catcher and First Baseman\n  \n']",['Oakland Athletics']
Nick Solak,/players/s/solakni01.shtml,"['January 11', '1995']","['\n    August 20, 2019\n    ']","['\n    Second Baseman, Leftfielder and Third Baseman\n  \n']",['Seattle Mariners']
Jorge Soler,/players/s/solerjo01.shtml,"['February 25', '1992']","['\n    August 27, 2014\n    ']",['\n    Rightfielder and Designated Hitter\n  \n'],['San Francisco Giants']
Jared Solomon,/players/s/solomja01.shtml,"['June 10', '1997']","['\n    May 7, 2022\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
George Soriano,/players/s/soriage01.shtml,"['March 24', '1999']","['\n    April 16, 2023\n    ']",['\n    Pitcher\n  \n'],['Miami Marlins']
José Soriano,/players/s/soriajo02.shtml,"['October 20', '1998']","['\n    June 3, 2023\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Michael Soroka,/players/s/sorokmi01.shtml,"['August 4', '1997']","['\n    May 1, 2018\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Edmundo Sosa,/players/s/sosaed01.shtml,"['March 6', '1996']","['\n    September 23, 2018\n    ']","['\n    Shortstop, Third Baseman and Second Baseman\n  \n']",['Philadelphia Phillies']
Lenyn Sosa,/players/s/sosale01.shtml,"['January 25', '2000']","['\n    June 23, 2022\n    ']","['\n    Second Baseman, Third Baseman and Shortstop\n  \n']",['Chicago White Sox']
Gregory Soto,/players/s/sotogr01.shtml,"['February 11', '1995']","['\n    May 11, 2019\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Juan Soto,/players/s/sotoju01.shtml,"['October 25', '1998']","['\n    May 20, 2018\n    ']",['\n    Outfielder\n  \n'],['New York Yankees']
Livan Soto,/players/s/sotoli01.shtml,"['June 22', '2000']","['\n    September 17, 2022\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",['Baltimore Orioles']
Bennett Sousa,/players/s/sousabe01.shtml,"['April 6', '1995']","['\n    April 8, 2022\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Alex Speas,/players/s/speasal01.shtml,"['March 4', '1998']","['\n    July 19, 2023\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Gabe Speier,/players/s/speiega01.shtml,"['April 12', '1995']","['\n    September 5, 2019\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Mitch Spence,/players/s/spencmi01.shtml,"['May 6', '1998']",[],['\n    Pitcher\n  \n'],['Oakland Athletics']
Carson Spiers,/players/s/spierca01.shtml,"['November 11', '1997']","['\n    September 3, 2023\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
George Springer,/players/s/springe01.shtml,"['September 19', '1989']","['\n    April 16, 2014\n    ']",['\n    Outfielder\n  \n'],['Toronto Blue Jays']
Jeffrey Springs,/players/s/sprinje01.shtml,"['September 20', '1992']","['\n    July 31, 2018\n    ']",['\n    Pitcher\n  \n'],['Tampa Bay Rays']
Jacob Stallings,/players/s/stallja01.shtml,"['December 22', '1989']","['\n    June 19, 2016\n    ']",['\n    Catcher\n  \n'],['Colorado Rockies']
Ryne Stanek,/players/s/stanery01.shtml,"['July 26', '1991']","['\n    May 14, 2017\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Giancarlo Stanton,/players/s/stantmi03.shtml,"['November 8', '1989']","['\n    June 8, 2010\n    ']",['\n    Rightfielder\n  \n'],['New York Yankees']
Cody Stashak,/players/s/stashco01.shtml,"['June 4', '1994']","['\n    July 23, 2019\n    ']",['\n    Pitcher\n  \n'],['San Francisco Giants']
Max Stassi,/players/s/stassma01.shtml,"['March 15', '1991']","['\n    August 20, 2013\n    ']",['\n    Catcher\n  \n'],['Chicago White Sox']
Josh Staumont,/players/s/staumjo01.shtml,"['December 21', '1993']","['\n    July 25, 2019\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Drew Steckenrider,/players/s/steckdr01.shtml,"['January 10', '1991']","['\n    May 24, 2017\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Justin Steele,/players/s/steelju01.shtml,"['July 11', '1995']","['\n    April 12, 2021\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Spencer Steer,/players/s/steersp01.shtml,"['December 7', '1997']","['\n    September 2, 2022\n    ']","['\n    First Baseman, Leftfielder and Third Baseman\n  \n']",['Cincinnati Reds']
Michael Stefanic,/players/s/stefami01.shtml,"['February 24', '1996']","['\n    July 3, 2022\n    ']",['\n    Second Baseman and Third Baseman\n  \n'],['Los Angeles Angels']
Trevor Stephan,/players/s/stephtr01.shtml,"['November 25', '1995']","['\n    April 3, 2021\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Jackson Stephens,/players/s/stephja01.shtml,"['May 11', '1994']","['\n    July 1, 2017\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Robert Stephenson,/players/s/stephro01.shtml,"['February 24', '1993']","['\n    April 7, 2016\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Tyler Stephenson,/players/s/stephty01.shtml,"['August 16', '1996']","['\n    July 27, 2020\n    ']",['\n    Catcher and First Baseman\n  \n'],['Cincinnati Reds']
Cal Stevenson,/players/s/steveca01.shtml,"['September 12', '1996']","['\n    August 10, 2022\n    ']",['\n    Centerfielder\n  \n'],['Philadelphia Phillies']
Brock Stewart,/players/s/stewabr01.shtml,"['October 3', '1991']","['\n    June 29, 2016\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
DJ Stewart,/players/s/stewadj01.shtml,"['November 30', '1993']","['\n    September 12, 2018\n    ']",['\n    Outfielder\n  \n'],['New York Mets']
Robert Stock,/players/s/stockro01.shtml,"['November 21', '1989']","['\n    June 24, 2018\n    ']",['\n    Pitcher\n  \n'],[]
Gavin Stone,/players/s/stonega01.shtml,"['October 15', '1998']","['\n    May 3, 2023\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Trevor Story,/players/s/storytr01.shtml,"['November 15', '1992']","['\n    April 4, 2016\n    ']",['\n    Shortstop and Second Baseman\n  \n'],['Boston Red Sox']
Bryson Stott,/players/s/stottbr01.shtml,"['October 6', '1997']","['\n    April 8, 2022\n    ']",['\n    Second Baseman and Shortstop\n  \n'],['Philadelphia Phillies']
Levi Stoudt,/players/s/stoudle01.shtml,"['December 4', '1997']","['\n    April 19, 2023\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Kyle Stowers,/players/s/stoweky01.shtml,"['January 2', '1998']","['\n    June 13, 2022\n    ']",['\n    Outfielder\n  \n'],['Baltimore Orioles']
Matt Strahm,/players/s/strahma01.shtml,"['November 12', '1991']","['\n    July 31, 2016\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Chris Stratton,/players/s/stratch01.shtml,"['August 22', '1990']","['\n    May 30, 2016\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Hunter Stratton,/players/s/strathu01.shtml,"['November 17', '1996']","['\n    September 5, 2023\n    ']",['\n    Pitcher\n  \n'],['Pittsburgh Pirates']
Myles Straw,/players/s/strawmy01.shtml,"['October 17', '1994']","['\n    September 15, 2018\n    ']",['\n    Centerfielder and Shortstop\n  \n'],['Cleveland Guardians']
Hunter Strickland,/players/s/strichu01.shtml,"['September 24', '1988']","['\n    September 1, 2014\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Spencer Strider,/players/s/stridsp01.shtml,"['October 28', '1998']","['\n    October 1, 2021\n    ']",['\n    Pitcher\n  \n'],['Atlanta Braves']
Ross Stripling,/players/s/stripro01.shtml,"['November 23', '1989']","['\n    April 8, 2016\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Marcus Stroman,/players/s/stromma01.shtml,"['May 1', '1991']","['\n    May 4, 2014\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Peter Strzelecki,/players/s/strzepe01.shtml,"['October 24', '1994']","['\n    June 2, 2022\n    ']",['\n    Pitcher\n  \n'],['Cleveland Guardians']
Garrett Stubbs,/players/s/stubbga01.shtml,"['May 26', '1993']","['\n    May 28, 2019\n    ']",['\n    Catcher and Leftfielder\n  \n'],['Philadelphia Phillies']
Albert Suárez,/players/s/suareal01.shtml,"['October 8', '1989']","['\n    May 8, 2016\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Andrew Suárez,/players/s/suarean01.shtml,"['September 11', '1992']","['\n    April 11, 2018\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Eugenio Suárez,/players/s/suareeu01.shtml,"['July 18', '1991']","['\n    June 4, 2014\n    ']",['\n    Third Baseman and Shortstop\n  \n'],['Arizona Diamondbacks']
José Suarez,/players/s/suarejo01.shtml,"['January 3', '1998']","['\n    June 2, 2019\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Angels']
Ranger Suárez,/players/s/suarera01.shtml,"['August 26', '1995']","['\n    July 26, 2018\n    ']",['\n    Pitcher\n  \n'],['Philadelphia Phillies']
Robert Suarez,/players/s/suarero01.shtml,"['March 1', '1991']","['\n    April 7, 2022\n    ']",['\n    Pitcher\n  \n'],['San Diego Padres']
Wander Suero,/players/s/suerowa01.shtml,"['September 15', '1991']","['\n    May 1, 2018\n    ']",['\n    Pitcher\n  \n'],['Houston Astros']
Brett Sullivan,/players/s/sullibr01.shtml,"['February 22', '1994']","['\n    April 18, 2023\n    ']",['\n    Catcher\n  \n'],['San Diego Padres']
Cole Sulser,/players/s/sulseco01.shtml,"['March 12', '1990']","['\n    September 6, 2019\n    ']",['\n    Pitcher\n  \n'],['New York Mets']
Brent Suter,/players/s/suterbr01.shtml,"['August 29', '1989']","['\n    August 19, 2016\n    ']",['\n    Pitcher\n  \n'],['Cincinnati Reds']
Jack Suwinski,/players/s/suwinja01.shtml,"['July 29', '1998']","['\n    April 26, 2022\n    ']",['\n    Outfielder\n  \n'],['Pittsburgh Pirates']
Seiya Suzuki,/players/s/suzukse01.shtml,"['August 18', '1994']","['\n    April 7, 2022\n    ']",['\n    Rightfielder\n  \n'],['Chicago Cubs']
Dansby Swanson,/players/s/swansda01.shtml,"['February 11', '1994']","['\n    August 17, 2016\n    ']",['\n    Shortstop\n  \n'],['Chicago Cubs']
Erik Swanson,/players/s/swanser01.shtml,"['September 4', '1993']","['\n    April 11, 2019\n    ']",['\n    Pitcher\n  \n'],['Toronto Blue Jays']
Devin Sweet,/players/s/sweetde01.shtml,"['September 6', '1996']","['\n    July 19, 2023\n    ']",['\n    Pitcher\n  \n'],['Detroit Tigers']
Thomas Szapucki,/players/s/szaputh01.shtml,"['June 12', '1996']","['\n    June 30, 2021\n    ']",['\n    Pitcher\n  \n'],['San Francisco Giants']
Jameson Taillon,/players/t/taillja01.shtml,"['November 18', '1991']","['\n    June 8, 2016\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Freddy Tarnok,/players/t/tarnofr01.shtml,"['November 24', '1998']","['\n    August 17, 2022\n    ']",['\n    Pitcher\n  \n'],['Oakland Athletics']
Dillon Tate,/players/t/tatedi01.shtml,"['May 1', '1994']","['\n    July 29, 2019\n    ']",['\n    Pitcher\n  \n'],['Baltimore Orioles']
Fernando Tatis Jr.,/players/t/tatisfe02.shtml,"['January 2', '1999']","['\n    March 28, 2019\n    ']",['\n    Shortstop and Rightfielder\n  \n'],['San Diego Padres']
Mike Tauchman,/players/t/tauchmi01.shtml,"['December 3', '1990']","['\n    June 27, 2017\n    ']",['\n    Outfielder\n  \n'],['Chicago Cubs']
Leody Taveras,/players/t/taverle01.shtml,"['September 8', '1998']","['\n    July 24, 2020\n    ']",['\n    Centerfielder\n  \n'],['Texas Rangers']
Beau Taylor,/players/t/taylobe11.shtml,"['February 13', '1990']","['\n    September 1, 2018\n    ']",['\n    Catcher\n  \n'],['Seattle Mariners']
Blake Taylor,/players/t/taylobl01.shtml,"['August 17', '1995']","['\n    July 24, 2020\n    ']",['\n    Pitcher\n  \n'],['Texas Rangers']
Chris Taylor,/players/t/tayloch03.shtml,"['August 29', '1990']","['\n    July 24, 2014\n    ']","['\n    Outfielder, Shortstop and Second Baseman\n  \n']",['Los Angeles Dodgers']
Josh Taylor,/players/t/taylojo02.shtml,"['March 2', '1993']","['\n    May 29, 2019\n    ']",['\n    Pitcher\n  \n'],['Kansas City Royals']
Michael A. Taylor,/players/t/taylomi02.shtml,"['March 26', '1991']","['\n    August 12, 2014\n    ']",['\n    Centerfielder\n  \n'],['Pittsburgh Pirates']
Samad Taylor,/players/t/taylosa04.shtml,"['July 11', '1998']","['\n    June 17, 2023\n    ']","['\n    Leftfielder, Second Baseman and Third Baseman\n  \n']",['Seattle Mariners']
Tyrone Taylor,/players/t/tayloty01.shtml,"['January 22', '1994']","['\n    September 7, 2019\n    ']",['\n    Outfielder\n  \n'],['New York Mets']
Julio Teheran,/players/t/teherju01.shtml,"['January 27', '1991']","['\n    May 7, 2011\n    ']",['\n    Pitcher\n  \n'],[]
Rowdy Tellez,/players/t/tellero01.shtml,"['March 16', '1995']","['\n    September 5, 2018\n    ']",['\n    First Baseman\n  \n'],['Pittsburgh Pirates']
José Tena,/players/t/tenajo01.shtml,"['March 20', '2001']","['\n    August 5, 2023\n    ']","['\n    Shortstop, Second Baseman and Third Baseman\n  \n']",['Cleveland Guardians']
Kai-Wei Teng,/players/t/tengka01.shtml,"['December 1', '1998']",[],['\n    Pitcher\n  \n'],['San Francisco Giants']
Matt Thaiss,/players/t/thaisma01.shtml,"['May 6', '1995']","['\n    July 3, 2019\n    ']","['\n    Catcher, Third Baseman and First Baseman\n  \n']",['Los Angeles Angels']
Juan Then,/players/t/thenju01.shtml,"['February 7', '2000']","['\n    May 6, 2023\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Caleb Thielbar,/players/t/thielca01.shtml,"['January 31', '1987']","['\n    May 20, 2013\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Alek Thomas,/players/t/thomaal01.shtml,"['April 28', '2000']","['\n    May 8, 2022\n    ']",['\n    Centerfielder\n  \n'],['Arizona Diamondbacks']
Lane Thomas,/players/t/thomala02.shtml,"['August 23', '1995']","['\n    April 17, 2019\n    ']",['\n    Outfielder\n  \n'],['Washington Nationals']
Bubba Thompson,/players/t/thompbu01.shtml,"['June 9', '1998']","['\n    August 4, 2022\n    ']",['\n    Outfielder\n  \n'],['Cincinnati Reds']
Keegan Thompson,/players/t/thompke02.shtml,"['March 13', '1995']","['\n    May 2, 2021\n    ']",['\n    Pitcher\n  \n'],['Chicago Cubs']
Mason Thompson,/players/t/thompma02.shtml,"['February 20', '1998']","['\n    June 22, 2021\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Ryan Thompson,/players/t/thompry02.shtml,"['June 26', '1992']","['\n    July 24, 2020\n    ']",['\n    Pitcher\n  \n'],['Arizona Diamondbacks']
Trayce Thompson,/players/t/thomptr01.shtml,"['March 15', '1991']","['\n    August 4, 2015\n    ']",['\n    Outfielder\n  \n'],['New York Mets']
Zack Thompson,/players/t/thompza02.shtml,"['October 28', '1997']","['\n    June 3, 2022\n    ']",['\n    Pitcher\n  \n'],['St. Louis Cardinals']
Trent Thornton,/players/t/thorntr01.shtml,"['September 30', '1993']","['\n    March 31, 2019\n    ']",['\n    Pitcher\n  \n'],['Seattle Mariners']
Ty Tice,/players/t/ticety01.shtml,"['July 4', '1996']","['\n    April 9, 2021\n    ']",['\n    Pitcher\n  \n'],['Washington Nationals']
Jesús Tinoco,/players/t/tinocje01.shtml,"['April 30', '1995']","['\n    May 31, 2019\n    ']",['\n    Pitcher\n  \n'],['Texas Rangers']
Michael Toglia,/players/t/toglimi01.shtml,"['August 16', '1998']","['\n    August 30, 2022\n    ']",['\n    First Baseman and Rightfielder\n  \n'],['Colorado Rockies']
Andrew Toles,/players/t/tolesan01.shtml,"['May 24', '1992']","['\n    July 8, 2016\n    ']",['\n    Outfielder and Pinch Hitter\n  \n'],['Los Angeles Dodgers']
Michael Tonkin,/players/t/tonkimi01.shtml,"['November 19', '1989']","['\n    July 11, 2013\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Justin Topa,/players/t/topaju01.shtml,"['March 7', '1991']","['\n    September 1, 2020\n    ']",['\n    Pitcher\n  \n'],['Minnesota Twins']
Spencer Torkelson,/players/t/torkesp01.shtml,"['August 26', '1999']","['\n    April 8, 2022\n    ']",['\n    First Baseman\n  \n'],['Detroit Tigers']
Abraham Toro,/players/t/toroab01.shtml,"['December 20', '1996']","['\n    August 22, 2019\n    ']","['\n    Second Baseman, Third Baseman and First Baseman\n  \n']",['Oakland Athletics']
Luis Torrens,/players/t/torrelu01.shtml,"['May 2', '1996']","['\n    April 3, 2017\n    ']",['\n    Catcher and Designated Hitter\n  \n'],['New York Yankees']
Gleyber Torres,/players/t/torregl01.shtml,"['December 13', '1996']","['\n    April 22, 2018\n    ']",['\n    Second Baseman and Shortstop\n  \n'],['New York Yankees']
Touki Toussaint,/players/t/toussto01.shtml,"['June 20', '1996']","['\n    August 13, 2018\n    ']",['\n    Pitcher\n  \n'],['Chicago White Sox']
Ezequiel Tovar,/players/t/tovarez01.shtml,"['August 1', '2001']","['\n    September 23, 2022\n    ']",['\n    Shortstop\n  \n'],['Colorado Rockies']
Taylor Trammell,/players/t/trammta01.shtml,"['September 13', '1997']","['\n    April 1, 2021\n    ']",['\n    Outfielder\n  \n'],['Los Angeles Dodgers']
Blake Treinen,/players/t/treinbl01.shtml,"['June 30', '1988']","['\n    April 12, 2014\n    ']",['\n    Pitcher\n  \n'],['Los Angeles Dodgers']
Alan Trejo,/players/t/trejoal01.shtml,"['May 30', '1996']","['\n    April 10, 2021\n    ']","['\n    Second Baseman, Shortstop and Third Baseman\n  \n']",['Colorado Rockies']
Jose Trevino,/players/t/trevijo01.shtml,"['November 28', '1992']","['\n    June 15, 2018\n    ']",['\n    Catcher\n  \n'],['New York Yankees']
Jared Triolo,/players/t/triolja01.shtml,"['February 8', '1998']","['\n    June 28, 2023\n    ']","['\n    Third Baseman, Second Baseman and First Baseman\n  \n']",['Pittsburgh Pirates']
Lou Trivino,/players/t/trivilo01.shtml,"['October 1', '1991']","['\n    April 17, 2018\n    ']",['\n    Pitcher\n  \n'],['New York Yankees']
Chadwick Tromp,/players/t/trompch01.shtml,"['March 21', '1995']","['\n    July 29, 2020\n    ']",['\n    Catcher\n  \n'],['Atlanta Braves']
Mike Trout,/players/t/troutmi01.shtml,"['August 7', '1991']","['\n    July 8, 2011\n    ']",['\n    Centerfielder\n  \n'],['Los Angeles Angels']
Cole Tucker,/players/t/tuckeco01.shtml,"['July 3', '1996']","['\n    April 20, 2019\n    ']","['\n    Shortstop, Rightfielder and Second Baseman\n  \n']",[]
Kyle Tucker,/players/t/tuckeky01.shtml,"['January 17', '1997']","['\n    July 7, 2018\n    ']",['\n    Rightfielder\n  \n'],['Houston Astros']
